news ID,url,title,time,content
apl201706170052000,http://www.appledaily.com.tw/realtimenews/article/international/20170617/1142107/助阿富汗打擊恐怖組織　美擬增4000兵,助阿富汗打擊恐怖組織　美擬增4000兵,2017/06/17 00:52,"美國國防部計畫向阿富汗增派4000名軍人，美聯社報導稱，國防部最快將於下周宣佈該消息，不過，路透就該報導詢問國防部，其發言人表示尚未做出任何決定。 　　美聯社報導指增派的士兵將協助訓練阿富汗士兵，並擔任軍事顧問，還有部分將從事反恐任務打擊神學士和激進組織「伊斯蘭國」（Islamic State, IS），五角大廈仍在評估增兵人數，範圍從3,000到5,000人之間。川普政府考慮增兵阿富汗已有一段時間，本周初川普授予防長馬提斯增兵阿富汗的權力。馬提斯本周告訴國會美國目前在阿富汗沒有贏面，希望在夏季能協助阿富汗政府軍打下勝戰。五角大廈正重新檢視阿富汗的軍事策略，馬提斯表示可能需費時數周，但增兵被視為是當務之急，因為神學士新一波攻擊季節即將到來。目前約有8400名美兵，北約盟友也預計將派出更多士兵前往阿富汗。（國際中心／綜合外電報導）推薦閱讀：澳洲下月展開槍枝特赦　籲民眾交出非法槍械"
apl201706170036000,http://www.appledaily.com.tw/realtimenews/article/entertainment/20170617/1141801/《101》90萬網友力挺　台灣賴冠霖韓國出道！,《101》90萬網友力挺　台灣賴冠霖韓國出道！,2017/06/17 00:36,韓國選秀節目《PRODUCE 101》第2季昨晚播出最後舞台，由民眾票選確定出道組合名為「Wanna One」。上周留下的20名練習生爭取11個出道名額，韓國「小野馬」泫雅15歲台灣師弟賴冠霖獲得第7名，順利出道，成為「TWICE」周子瑜、「DAYDAY」彭羽彤後，第3位在韓出道的台灣人。賴冠霖以 90萬5875票拿下第7名，他用中文發表感言：「首先謝謝投票給我的國民PRODUCER，希望你們可以支持我們下個團隊。」也對爸爸說：「雖然你當時不讓我來韓國 ，但是我會更努力來證明自己來回報你。」20名練習生在投票終止前大合唱《ALWAYS》，想起3個月的辛苦練習，各個紅了眼眶。現場播放預錄影片中，看到父母的影像留言，20名大男孩也哭成淚 人兒，賴冠霖的爸爸、姊姊更特地飛到韓國為他加油，讓他不敢置信大喊：「oh my god！」賴冠霖只當了「CUBE娛樂」6個月的練習生，曾被嫌韓文不佳，當初被分到F等級班別，第7周突飛猛進，演唱自己用韓文寫詞的《怯》拿下亞軍，也是唯一一個F等級的人擠進前3名，但上周吊車尾擠進20名，讓粉絲嚇出一身冷汗，如今獲得第7名，順利在韓出道。（陳薇安／綜合報導）小編推薦【狗仔偷拍】少奶遊街如娘娘起駕　孫芸芸母女白滑美腿像他…..
apl201706170036001,http://www.appledaily.com.tw/realtimenews/article/sports/20170617/1142093/陽岱鋼被爆頭後大吼　不是國罵　是這個字,陽岱鋼被爆頭後大吼　不是國罵　是這個字,2017/06/17 00:36,陽岱鋼前天在對軟銀比賽的6局下，被軟銀中繼投手森唯斗一記146公里速球直擊左腦，當場倒地，他起身後，怒氣沖沖的準備走向森唯斗理論，並大吼了一聲，許多球迷都好奇陽岱鋼到底罵什麼？為什麼那麼生氣？現在答案揭曉，他罵的不是台灣的國罵「X」，也不是英文「F」字頭的單字，而是「コラ」。這個字，在日文中有幾個解釋，其中一個是當怒吼時的語助詞。陽岱鋼因被觸身球打到，當下動怒大吼，有一點「你幹什麼」的意思。另外，陽岱鋼所屬的「閃亮之星」後援會的粉團中說明，陽岱鋼會那麼生氣，主要是146公里的直球打中太陽穴，他擔心有生命危險，才會難得動怒。雖然，昨天對羅德的比賽他未上場，但昨天早上他也和經紀公司聯絡，說他傷勢無大礙，只是需要再觀察。(鍾裕能／綜合報導) 
apl201706170033000,http://www.appledaily.com.tw/realtimenews/article/local/20170617/1142099/「剩下我處理」　老新歡殺死年輕舊愛,「剩下我處理」　老新歡殺死年輕舊愛,2017/06/17 00:33,嘉義一名男子前午被發現連人帶車倒臥在新市南140市道旁，一開始警方以為是車禍重傷案，不料傷者送醫救治時，卻被發現全身多處刀傷導致失血過多，急救不治；善化警方深入調查，發現死者疑與前女友及其現任男友有三角感情糾葛，慘遭開車追撞後倒地再被追殺多刀，涉嫌殺人的現任男友當場逃逸，前女友前晚則被帶回警訊，昨依殺人罪嫌移送南檢偵辦。檢警昨相驗死者，發現身上有10多處深淺不一的刀傷，需再擇期解剖，死者父母悲痛難以接受；警方透露，三角關係中的3人都曾有過婚姻，目前皆已單身，而死者疑難接受涂女新歡竟是年紀比自己大超過一輪的前科男，仍對涂女苦苦挽留，「真是愛到卡慘死！」善化警分局調查，涂姓女子（42歲，無業）曾與死者林男（42歲，工人，住嘉義）交往多年，近2年則和新歡黃男（59歲，有毒品前科，住嘉義）交往中，涂女認為已與林男分手，但林男卻自認仍與涂女有情侶關係，常掌握涂女行蹤，讓涂女心生不耐與厭煩，時常跟黃男抱怨被前男友騷擾和「勾勾纏」，而兩邊「男主角」也知對方的存在。仍深愛對方的林男前天休假，雖然下著大雨，但仍照例騎乘機車從嘉義到台南想尋找探望涂女，涂女開車外出時，與林男在路上照面相遇，林男追上前拍打車窗，但涂女加速離去，不願下車，涂女還邊開車邊撥打電話給黃男求救說：「他又出現了，現在就跟在我車後面！」黃男聽完勃然大怒，指引涂女開往南140市道方向來，並強調：「剩下交給我處理」。幾分鐘後，黃男看到涂姓女友轎車開進南140市道，果然發現林男騎機車緊追在後，等涂女轎車往前開遠，黃男立刻高速衝撞林男，林男機車被噴飛到路旁水溝上，倒地的林男第一時間還能顛簸地站起身，黃男從後照鏡發現林男似無大礙，竟又倒車回到現場，雙方還追逐一陣，林男疑氣力放盡，被黃男持利刃朝胸、背猛刺多刀倒臥血泊，黃男隨即駕車逃逸。有路人經過時看到兩人追逐，善化警方調閱監視畫面以車追人，帶回涂女瞭解相關案情，涂女驚訝直呼：「真的不知道他會死！」警訊時雖懊悔，但對案情細節避重就輕，訊後被依殺人罪嫌移送，而善化警方則全力追捕在逃的黃嫌到案。（李恩慈／台南報導）【小編推薦，大家都在看】醫師嘆醫療崩壞　「褥瘡人球」台北丟至嘉義【有片】怕議長位不保　苗栗中風議長坐輪椅赴議會蓋章國小屋頂白骨待驗DNA　失蹤校工欠卡債暴雨灌出「蚯蚓界姚明」　60公分肥如蛇【有片】死亡車禍變情殺　男子亂刀刺死情敵
apl201706170030000,http://www.appledaily.com.tw/realtimenews/article/international/20170617/1142103/澳洲下月展開槍枝特赦　籲民眾交出非法槍械,澳洲下月展開槍枝特赦　籲民眾交出非法槍械,2017/06/17 00:30,澳洲從7月1日起將展開為期三個月的槍支特赦計畫，鼓勵全澳持槍者交出非法持有的槍支，以降低恐怖分子使用這些槍支作案的風險。 　　據當地媒體報導，由於國內多次發生犯案者使用非法槍械做案，包括恐怖攻擊和有組織犯罪，因此政府希望盡可能清除非法槍枝，政府估計現市面約有26萬支非法槍械。市民在這三個月特赦期限內繳交槍械，將不會被審查或審問，因為有部份槍械可能是由一些已離世的家庭成員所擁有，或是傳家之物，而家人亦不知道如何處理這些槍械。如果民眾在期限後，被發現擁有未登記的槍械而被捕，最高可會被罰款達28萬澳元（約655萬台幣）或被判最高14年刑期。（國際中心／綜合外電報導） 　　推薦閱讀：德前總理柯爾逝世　享壽87歲　　　　【出手片】川普新政策　將緊縮古巴商業旅遊
apl201706170025000,http://www.appledaily.com.tw/realtimenews/article/animal/20170617/1141880/狗狗插畫撲克牌黑桃變成狗斑紋,狗狗插畫撲克牌 黑桃變成狗斑紋,2017/06/17 00:25,市面上不少撲克牌繪有特別圖案令人想收藏，藝術家約翰‧霍奇(John Littleboy)成立Artiphany工作室，推出狗狗插畫撲克牌，將撲克牌的梅花變成狗腳印，方塊變成狗狗挖的洞，愛心變成毛毯印花，黑桃則是狗狗身上的斑紋，JQK和鬼牌則是狗狗化身成貴族和小丑，兼具幽默和創意的撲克牌，一副售價美金9.5元(約新台幣287元)。另外約翰特別為這副撲克牌拍攝一支短片，賭桌上約翰與兩隻狗狗玩撲克，並用狗餅乾當賭注，彷彿重現名畫《Dogs Playing Poker》中的場景相當有創意。(賴俊佑／綜合報導)資料、圖片來源：Artiphany、Boredpanda、Youtube更多內容，請上毛愛蘋果粉絲團推薦閱讀：【破功片】不可以搶我的生日蛋糕 下一秒卻破功【震撼片】印尼果蝠數量銳減　竟是這個原因【親子片】母鴨帶小鴨 遷徙至700公尺遠的鴨川
apl201706170023000,http://www.appledaily.com.tw/realtimenews/article/animal/20170617/1141621/野蠻貓遇上憨厚狗情況不可收拾,野蠻貓遇上憨厚狗  情況不可收拾,2017/06/17 00:23,Brady和貓咪Tuukka是一對奇妙的組合，2年多前Tuukka只是一隻流浪幼貓，個性膽小，也很害怕大狗Brady，但經過相處後，沒想到Tuukka在個性、行為上卻越來越像一隻狗。這兩傢伙在家最愛玩搏鬥遊戲，只見影片中貓咪Tuukka不停地挑釁狗狗Brady，但汪汪相當好脾氣，偶爾裝腔作勢、卻任由小貓咪撒野，而相安無事時，一貓一狗也總是膩在一起，讓人完全可以感受到牠們的好交情。(黃馨儀／綜合報導)資料來源：臉書TheDodo更多內容，請上毛愛蘋果粉絲團推薦閱讀：【破功片】不可以搶我的生日蛋糕 下一秒卻破功【震撼片】印尼果蝠數量銳減　竟是這個原因【親子片】母鴨帶小鴨 遷徙至700公尺遠的鴨川
apl201706170023001,http://www.appledaily.com.tw/realtimenews/article/animal/20170617/1141868/超壯觀這個男人同時溜39隻狗,超壯觀 這個男人同時溜39隻狗,2017/06/17 00:23,美國飼養狗狗的人口數增加，因飼主繁忙時狗狗需要照顧，遛狗人成為美國最夯的工作，臉書「Z Animal Lover」由住在加州的贊恩(Zane)經營，提供溜狗和狗狗訓練的工作，6/10上傳一隻影片，贊恩一人竟同時溜39隻狗狗，走在大馬路上超壯觀，贊恩也表示這是他目前最高的溜狗紀錄，這支超狂影片短短4天就超過323萬人點閱。(賴俊佑／綜合報導)資料、圖片來源：臉書/Z Animal Lover更多內容，請上毛愛蘋果粉絲團推薦閱讀：【破功片】不可以搶我的生日蛋糕 下一秒卻破功【震撼片】印尼果蝠數量銳減　竟是這個原因【親子片】母鴨帶小鴨 遷徙至700公尺遠的鴨川
apl201706170022000,http://www.appledaily.com.tw/realtimenews/article/entertainment/20170617/1141942/【專訪】曹政奭難忘與她接吻　示愛密技跳過女友GUMMY,【專訪】曹政奭難忘與她接吻　示愛密技跳過女友GUMMY,2017/06/17 00:22,36歲韓國男星曹政奭去年以夯劇《嫉妒的化身》再創事業高峰，日前登寶島獻出海外見面會初體驗，吸引逾千名台粉捧場。曾被韓網票選為「接吻達人」季軍的他，接受《蘋果》專訪時，提到印象最深的吻戲，他笑答：「《嫉妒的化身》，除了受到許多關注，我與（孔）孝真還獲得美國DramaFever Awards的最佳吻戲獎。」過去他的名字被譯為「趙正錫」，此次來台正名為「曹政奭（音同是）」，但「奭」的讀音卻鮮為人知，《蘋果》考驗他的漢字實力，他大筆一揮就寫好大名，看到現場台灣人一臉驚訝，他不好意思笑說：「大家好像真的不常用耶！」並透露父親關心政治，「希望我成為政治界的大人物，但我想做的是演戲」。他2012年起連2年代言台灣觀光，與寶島淵源深厚，對台灣美食更是讚不絕口，他現場重現每次來台灣前反應，手舞足蹈表示：「喔耶！要去鼎泰豐了！」4度來台對小籠包的愛有增無減。他彈得一手好吉他，在《我的鬼神君》自彈自唱創作曲《Gimme A Chocolate》告白朴寶英，融化許多女粉的心。他私下不用這招追妹，連對交往4年的歌手女友「GUMMY」也沒用過，僅於讀大學時喜歡露營聚一起彈彈唱唱，滿臉春風表示：「喜歡我的學妹還蠻多，就是一直默默暗戀我。」他接的角色多為個性傲嬌的大男人，他透露自己談戀愛屬於愛開玩笑的類型，不擅長肉麻的舉動。以音樂劇出道的他舞技不容小覷，此次寶島見面會更重現麥可傑克遜經典舞步。他提到高中時熱愛跳舞，自信說道：「學校有慶典或活動，我一定是上台跳舞的其中一人！」網傳他曾當過「B-Boy」，他澄清只是愛跳「break dance（霹靂舞）」。出道13年的他，近幾年才以《初戀築夢101》、《我的鬼神君》、《嫉妒的化身》受到矚目，被韓媒稱為「大器晚成型」演員，他樂觀表示：「我從未遇過低潮，人生就像坐雲霄飛車，下部作品好好努力就行了！」他轉而提到人生低潮，「應該是爸爸和侄子相繼離世，多虧親友陪我度過那段時間，所以我很喜歡朋友」。他去年主演電影《哥哥》，與「EXO」成員D.O（都暻秀）扮演兄弟，片中罹癌的他面臨與失明的弟弟生離死別，兄弟情深感動許多影迷。他在家中排行4個小孩的老么，與兄姊年紀差至少10歲，如何揣摩哥哥心境？他把功勞歸給侄子，感性說道：「2004年我的侄子因車禍離開人世，他是1983年生，和我只差3歲。」他表示2人雖是叔侄，從小相處模式像兄弟，但高中後沒能好好照顧他，如同片中他對D.O的虧欠，讓他感同身受。（陳薇安／台北報導）小編推薦【狗仔偷拍】房祖名丟包成龍　揪柯震東開溜偷歡
apl201706170021000,http://www.appledaily.com.tw/realtimenews/article/animal/20170617/1141735/貓咪邂逅洗衣機結果竟是瘋狂拍打,貓咪邂逅洗衣機 結果竟是瘋狂拍打,2017/06/17 00:21, Cute Wild Animals（@cutewildanimals）分享的貼文 於 2017 年 6月 月 14 12:05下午 PDT 張貼IG帳號cutewildanimals分享一則有趣影片，片中一隻貓咪直直盯著洗衣機內的白色衣物，突然洗衣機動了起來，牠立即用手不斷的拍打玻璃，還邊拍邊跳，彷彿表示讓我一起進去玩啊！（陳映彤／綜合報導）更多內容，請上毛愛蘋果粉絲團推薦閱讀：【破功片】不可以搶我的生日蛋糕 下一秒卻破功【震撼片】印尼果蝠數量銳減　竟是這個原因【親子片】母鴨帶小鴨 遷徙至700公尺遠的鴨川
