news ID,url,title,time,content
apl201707060133000,http://www.appledaily.com.tw/realtimenews/article/finance/20170706/1155111/歐盟傳再對谷歌開鍘　罰金恐破天價850億,歐盟傳再對谷歌開鍘　罰金恐破天價850億,2017/07/06 01:33,歐盟執委會上周才以Google濫用其搜尋引擎市場地位妨礙競爭為由、開罰24.2億歐元（約849.9億元台幣），創歐盟史上單一企業反托辣斯（antitrust）相關案件罰金最高紀錄，但彭博和路透引述消息人士說法報導，這僅僅是個開端，歐盟正醞釀向Google在作業系統市場壟斷行為再祭出另一波天價罰款。彭博披露，繼歐盟上周宣布對Google購物搜尋服務調查結果後，Google所涉及另2宗反托辣斯調查----Android作業系統及AdSense廣告平台涉嫌妨礙公平競爭行為----也已接近尾聲。其中關於Android系統一案的調查，Google被指控濫用其市場地位對設備製造商與網路營運商施加不公平限制，如要求手機製造商必須預先安裝Google Chrome等App，甚至給付廠商補貼以交換只安裝Google Search等。向路透透露消息的知情人士表示，歐盟已成立專家小組以對此案尋求第2意見，倘若專家小組同意調查小組的調查結論，歐盟執委會可望在年底前向外公布對Google的裁量，且罰金規模料將比對購物搜尋服務一案所開出24.2億歐元更高。（劉利貞／綜合外電報導）小編推薦：別光盯科技股！賭場、郵輪、飯店今年漲勢強強滾【鴻家軍新股不掛台股~去香港了】下周IPO 鴻騰精密估募13億高盛看衰「鋼鐵人」：特斯拉股價將腰斬
apl201707060130000,http://www.appledaily.com.tw/realtimenews/article/politics/20170706/1155038/一張圖表帶你看懂　《前瞻條例》是什麼,一張圖表帶你看懂　《前瞻條例》是什麼,2017/07/06 01:30,立法院臨時會昨三讀通過《前瞻基礎建設特別條例》，計劃期程及預算規模由8年8900億元砍半，以4至年4200億元為一期，但期滿後經立院同意得續編，仍可編至8年8400億，等同僅小刪500億。昨通過前瞻計劃內容，除原本的軌道、水環境、綠能、數位、城鄉等5大項目外，亦加入少子化、食品安全與人才培育促進就業等3個新項目。其中增訂究責條款，明訂審計機關如發現因公務人員違法失職，導致工程未達預定進度80%時，應將執行機關首長及相關主管移送監察院調查懲處。行政院發言人徐國勇表示，移送監院後，仍須依《公務員服務法》相關法規，甚至違法行為還是要依《刑法》或《貪污治罪條例》處理。（政治中心／台北報導）【推薦新聞】【奇招動畫】前瞻條例順利闖關　就靠老柯這一招 
apl201707060100000,http://www.appledaily.com.tw/realtimenews/article/international/20170706/1155095/【飛彈動畫】北韓洲際飛彈發射成功　核武威脅再升高,【飛彈動畫】北韓洲際飛彈發射成功　核武威脅再升高,2017/07/06 01:00,美國總統川普今年1月上台前曾放話，絕對不讓北韓發展能打到美國的核武，但美官員承認北韓前天成功試射洲際飛彈後，核不擴散專家路易斯（Jeffrey Lewis）指美須接受北韓已快越紅線，「無核化談判窗口已關上。」美國進步中心核子國防政策資深研究員孟特（Adam Mount）說，北韓飛彈已發展到此階段，國際施壓與外交手段效果恐有限，「現才要施壓北韓停止發展飛彈是不合邏輯的，朝鮮半島無核化已不可能。美國政策失敗，現在能期待最好結果就是長遠持續威懾、圍堵、壓制及改革北韓政權。」美軍方正在研究軍事行動選項，但多名美軍將領坦言和北韓對槓有莫大風險。國防部長馬提斯（James Mattis）曾警告「北韓擁數百門大砲和火箭發射器，能命中人口密集的南韓首爾，若我們無法藉外交手段解決危機，恐再度引發災難性韓戰。」《紐約時報》分析，川普能用來對付北韓選項不多，如經濟制裁、駭客破壞飛彈試射、奇襲先發制人和談判等，但每項都有風險。國際已對北韓實施經濟制裁多年，但中國擔心北韓經濟崩盤恐有大批難民湧入中國，始終不願做太絕。美國2009和2010年曾試圖將電腦病毒植入北韓核武系統，但因北韓網路太封閉而失敗。若美國偵測到北韓將發射洲際飛彈，可採取軍事奇襲先發制人，但北韓已研發新一代固體燃料飛彈，易藏山洞裡，移出後快速發射反擊。最後是外交談判，據中國國家主席習近平提的計劃，要求北韓停止發展飛彈，換取美韓停止大規模軍演，但此舉將限制美國在太平洋地區的軍事行動自由。 （國際中心／綜合外電報導）
apl201707060058000,http://www.appledaily.com.tw/realtimenews/article/international/20170706/1155107/【禁菸片】癮君子哭哭　東京將推公共場所禁菸,【禁菸片】癮君子哭哭　東京將推公共場所禁菸,2017/07/06 00:58,日本東京主辦2020年奧運會和殘奧會，現任都知事小池百合子致力在奧運會前推動室內場所全面禁菸，達成首都無菸的目標。路透報導，在日本每年有過千人死於二手菸，東京被視為近年主辦奧運會最不健康的城市之一。今年春天，日本國會曾推動類似的禁菸議案，遭首相安倍晉三領導的執政黨否決，原因是日本政府佔煙草公司三分一股權，2014至15年度的菸草稅收更達7億美元（約213億元台幣）。不過小池百合子的政黨「都民第一會」近日在東京都議會選舉中，奪得過半議席，與盟黨公明黨穩握主導權，她將向議會提出禁止在公共場所吸菸，並最快在今天秋天表決。小池百合子對《日經新聞》表示：「城市放慢了（禁菸速度），但我們會做好作為主辦國的責任。」（國際中心／綜合外電報導）推薦閱讀：金小胖屁孩style射彈 都怪中美關係沒喬好秘魯妙齡女木乃伊 重建面貌驚豔世人
apl201707060051000,http://www.appledaily.com.tw/realtimenews/article/international/20170706/1155109/手動滅蚊落伍了　廠商研發全自動雷射死光砲,手動滅蚊落伍了　廠商研發全自動雷射死光砲,2017/07/06 00:51,日頭炎炎，不管用補蚊燈、電蚊拍、殺蟲劑都沒辦法消滅討厭的蚊子嗎？別擔心，終於有人發明出了一種「主動式蚊蟲攔截裝置」，號稱任何蚊蟲都逃不過這台機器發出的死光攻擊，只要0.025秒的時間就能將其秒殺！這台名為「Photonic Fence」的機器是由「Intellectual Ventures」實驗室於2010年研發推出，經過這幾年的改造，功能已經越來越完善，其原理是透過鏡頭捕捉範圍內的蚊蟲，分析其形態、大小和拍翼頻率，再射出一條激光將目標撲殺，發射前還會先智慧研判彈道上有無其他生物，堪稱是「滅蚊神器」！（即時新聞中心／綜合報導）【秒殺推薦】黑頭粉刺越擠毛孔越粗　擠到上癮小心留疤女生天熱易白帶　小心顏色變深恐不孕亞洲十大性感女DJ　台灣Bombshell也上榜
apl201707060048000,http://www.appledaily.com.tw/realtimenews/article/finance/20170706/1155108/別光盯科技股！賭場、郵輪、飯店今年漲勢強強滾,別光盯科技股！賭場、郵輪、飯店今年漲勢強強滾,2017/07/06 00:48,別光只盯著科技股！《華爾街日報》報導，飯店、郵輪、賭場等業者股票，今年來在美股中漲勢名列前茅，凸顯出旅遊休閒需求強勁，儘管相關產業對川普政府政策恐影響赴美觀光人潮感到憂心。經營豪華酒店與賭場的永利度假村（WYNN RESORTS），今年上半年股價大漲55%，成為S&P 500指數漲幅前5大的個股之一；皇家加勒比國際郵輪（Royal Caribbean International）、連鎖飯店集團溫德姆（WYNDHAM WORLDWIDE）也各漲33%及31%，表現均排在S&P 500指數前35。這幾檔股票今年的表現都比亞馬遜（amazon.com）更勝一籌。川普政府限制6個穆斯林國家公民入境、採行更嚴格的飛航安全措施，已促使世界觀光旅遊委員會（WTTC）等組織警告赴美旅遊吸引力恐因此受損，但分析師表示，截至目前這類憂慮尚未對相關產業股價造成影響。分析師指出，比起非必需性消費族群中其他類股，旅遊休閒類股反而因受惠於消費信心改善及旅遊相關支出增長，成為頗具吸引力的替代投資標的，特別是在投資人對實體零售業者股票避之唯恐不及的態勢下。在來自亞馬遜等電商的激烈競爭下，美國許多實體零售業者的客流與業績飽受壓力。德意志銀行分析師Carlo Santarelli說：「投入非必需性消費族群的資金得有地方去，和此族群中其他類股相比，賭場與飯店業者因亞馬遜所帶來的某些破壞而受益。」據First Data統計，從2015年直到今年5月為止，旅館、休閒與旅遊相關支出幾乎每個月都呈增長，除了其中2個月以外；在First Data所追蹤美國約400萬家商店內，這段期間每月旅遊支出平均年增近6%、旅館住宿支出增4.4%、休閒相關支出也增2.8%。（劉利貞／綜合外電報導）小編推薦：【鴻家軍揪團去香港上市～】下周IPO 鴻騰精密估募13億高盛看衰「鋼鐵人」：特斯拉股價將腰斬老鄉背後一槍 借你錢然後就把公司吞了
apl201707060035000,http://www.appledaily.com.tw/realtimenews/article/local/20170706/1155082/公車司機被控性侵弱智女　擴大清查,公車司機被控性侵弱智女　擴大清查,2017/07/06 00:35,台北市大都會客運1名離職的林姓公車司機，被指控在擔任司機期間，將1名常搭公車的弱智女帶回住處性侵，甚至「吃好逗相報」，介紹給司姓同事認識、發生性關係還導致女子懷孕、拿掉小孩，但台北地檢署調查後認為，尚無證據顯示林姓司機涉性侵，已予不起訴，至於到底有誰與她發生關係，檢警擴大追查中。檢警查出，被害女乘客外表清秀，和母親相依為命，略有輕度智障的她，每天從文山區搭公車到市區工作，因而認識許多司機並加LINE成為好友，去年10月間，1名離職的司機與女子用LINE閒聊時，得知竟然有其他司機利用女子的純真，強迫她發生關係。這名正義司機聽到後不可置信，認為「這麼單純善良的小妹妹也欺負得下去，簡直禽獸不如！」主動告訴女子母親：「妳女兒被公車司機欺侮了，快報警。」母親一聽大驚，報警後帶女兒到醫院採檢體保留證據時，竟發現女兒已懷孕約兩個月，只得人工流產。事後警方從女子的指訴，鎖定林姓、司姓前公車司機涉嫌，將2人函送北檢偵辦。台北地檢署受理後展開調查，將林男約談到案，林男雖承認因為開公車認識該女子，但否認發生關係，檢方採集林男檢體與女方肧胎DNA比對後發現型別不符，因無其他證據證明林男涉案，先將他不起訴。至於司姓司機是否涉嫌，仍調查釐清中，檢警亦著手過濾女子LINE對話記錄，鎖定特定對象擴大清查。（呂志明／台北報導）【更多新聞，請看《蘋果陪審團》粉絲團】小編推薦:色男發毒誓「有強吻嘴就爛」　這下真的爛掉了渣男缺錢　竟充馬伕親送女友援交賺生活費少女誤認作春夢　睜眼驚見遭「爸」跳蛋性侵
apl201707060030000,http://www.appledaily.com.tw/realtimenews/article/finance/20170706/1155104/【19檔總市值3.2兆！】鴻海航艦戰鬥群成形　橫跨台股+港股+日股,【19檔總市值3.2兆！】鴻海航艦戰鬥群成形　橫跨台股+港股+日股,2017/07/06 00:30,鴻海（2317）集團旗下的上市公司，正從台股橫跨至港股，還可能延伸至陸股，未來幾年可望使鴻海成為台股上市櫃公司之中，首家子公司與孫公司同時在香港及中國股市IPO的企業。鴻海集團在台股組成14檔個股的鴻家軍後，首批海外鴻家軍也正在港股逐漸成形。在大中華市場規模最大的連接器製造商鴻騰精密（FIT Hon Teng），在港股的IPO申請案去年10月已獲得港交所通過。惟公司方面將掛牌時間，從2016年第4季延至今年6月才進行。若把鴻海去年8月正式投資的日本夏普也算進來，鴻家軍在台股有14檔，昨天收盤後的總市值為2兆5744億元台幣；鴻家軍在港股已有3檔，在昨天收盤後總市值為207.06億港元（約818億元台幣）；日本夏普昨天市值為2兆431億日圓（約5500億元台幣）。4檔鴻家軍在港股成形換句話說，目前廣義的鴻家軍橫跨了台股、港股與日股，總共有19檔，若不計尚未IPO的鴻騰精密，其餘18檔總市值高達3兆2062億元台幣。在鴻騰精密之前，鴻海集團在港股的上市公司，已有專攻手機代工生產的富智康（FIH Mobile）；2015年10月因併購而來的雲智匯科技；以及原名為千里眼控股（Teleeye）的訊智海國際控股。若把鴻海去年8月正式投資的日本夏普也算進來，鴻騰精密將是鴻家軍的第19檔個股，也是在港股的第4檔。戴正吳：物流事業SJL　未來在陸股IPO2016年12月初《日本經濟新聞》與《朝日新聞》報導，11月30日夏普社長戴正吳曾經表示，夏普與鴻海旗下物流事業「準時達國際」共同成立的夏普準時達物流（SJL），未來幾年將規劃在中國股市IPO。不只如此，從夏普分拆出去的智慧財產管理子公司，以及健康醫療子公司，未來都有股票上市的計劃。2013年郭董：集團旗下有50家小金雞可分拆鴻海董事長郭台銘曾於2013年股東會中表示，集團旗下初估有50家小金雞可以分拆，將可創造100~200位董事長，且重點是，「這些小金雞都是貼上鴻海的金字招牌，未來鴻海也會從航空母艦，變成航艦戰鬥群」。當時郭台銘指出，小金雞雖然切割出去，但鴻海仍是主要控股，而且這些公司可以少受鴻海的規定，「後浪推前浪，股價將會超過鴻海」。（劉煥彥／台北報導）小編推薦：【鴻家軍新股不掛台股~去香港了】下周IPO　鴻騰精密估募13億 【全球首創片】VOLVO後年進入電時代　不再推汽柴油新車 
apl201707060026000,http://www.appledaily.com.tw/realtimenews/article/international/20170706/1155099/亞洲十大性感女DJ　台灣Bombshell也上榜,亞洲十大性感女DJ　台灣Bombshell也上榜,2017/07/06 00:26,國外夜店情報網站《edmdroid》根據《FHM》、《DJ Online》等雜誌，近日評選出了「亞洲最性感的十大女DJ」，名單有來自新加坡、馬來西亞等地的知名女DJ，台灣的女DJ「Bombshell」高慧珊不但也名列其中，還高居第八名，《edmdroid》聲稱，榜上的這些女DJ既有外表、又有實力，若能夠參加有她們在的趴踢，一定會嗨翻天啦！（即時新聞中心／綜合報導）【十大推薦】史上最強「3洞」飛機杯　自己來也能嗨翻天這家鹹酥雞暗藏胸器　鄉民激辯她是哪國妹子
apl201707060024000,http://www.appledaily.com.tw/realtimenews/article/animal/20170706/1154887/想拿檸檬騙狗吃汪汪才沒那麼傻,想拿檸檬騙狗吃 汪汪才沒那麼傻,2017/07/06 00:24,狗狗雖然很貪吃，但有時也是很挑食的。臉書Storyful近日分享一段影片，飼主拿著檸檬片想讓臘腸犬嚐嚐看，沒想到臘腸犬僅是看了一眼，就一臉嫌棄地走到一旁，搖頭晃腦還不時發出低吼表達不悅，看來這已不是飼主第一次調皮的捉弄，汪汪還是挺聰明的呀！（吳宣／綜合報導）資料來源：Facebook/Storyful更多內容，請上毛愛蘋果粉絲團推薦閲讀【感人片】帶貓旅行宣導 主人盼更多人喜歡貓咪【遊戲片】倉鼠瘋瑪利歐 紅白機也難不倒牠【幸福片】沒雙眼的小雞　幸獲飼主愛心照護 
