news ID,url,title,time,content
apl201707120534000,http://www.appledaily.com.tw/realtimenews/article/international/20170712/1159166/日新增7千例　葉門霍亂病例逾30萬,日新增7千例　葉門霍亂病例逾30萬,2017/07/12 05:34,"葉門霍亂疫情日益嚴重，感染病例已超過30萬，每天新增病例達7,000例，其中約半數為兒童。 國際紅十字委員會10日公佈的資料顯示，從去年10月葉門霍亂疫情爆發至今，該國已有超過30萬人感染，在過去10周的時間裡，霍亂奪走逾1,600條人命。上月24日，世衛組織宣佈葉門爆發全球最嚴重的霍亂疫情，從那時起，葉門霍亂感染病例在不到一個月的時間內猛增10萬例。霍亂是由霍亂弧菌引起的急性腸道傳染病，患者常出現嘔吐、腹瀉、脫水和高燒等症狀，重症和延誤治療可致死亡。持續不斷的內戰是導致葉門出現嚴重霍亂疫情的主要原因。自2015年3月以來，沙烏地阿拉伯支持的現政府與伊朗支持的反叛組織「青年運動」（Houthi）之間衝突不斷，已導致逾一萬人死亡、數百萬人流離失所。 此外，衝突嚴重破壞葉門的基礎設施，國內半數以上的醫療衛生機構被迫關閉、1450萬人無法獲得乾淨水源。雖然聯合國兒童基金會等組織正為葉門提供醫療幫助，但如何分配這些救援卻成了問題，且運送救助物資也因道路封鎖等問題無法順利送達，據聯合國表示，目前沙國、科威特、德國、美國和英國等國家捐贈的11億美元救援物資仍無法被分發到葉門各個地方。（國際中心／綜合外電報導）推薦報導：【警告片】地球大滅絕隨時出現　罪魁禍首是人類 "
apl201707120515000,http://www.appledaily.com.tw/realtimenews/article/local/20170712/1159155/中年男攻擊年邁女　原因與結果都很瞎,中年男攻擊年邁女　原因與結果都很瞎,2017/07/12 05:15,高雄市一名男子，凌晨騎車前往河北二路一棟大樓前，因將車騎上騎樓，且用車燈照著坐在一旁聊天的幾名女子，女子們認為該男是故意挑釁，雙方爆發口角後，該名42歲男子居然憤而持安全帽，不斷攻擊其中一名62歲女子，被打女子不甘被欺負，負傷搶過安全帽後，伺機朝男子反擊，一旁姊妹們也紛紛上前教訓該男，原本氣焰囂張的男子不敵眾人狂歐，倒地後開口求饒，警方獲報到場處理，發現男子滿臉鮮血，立即請救護車先將雙方送醫治療，是否提出告訴，將由警方後續調查中。(侯昌騰／高雄報導)
apl201707120455000,http://www.appledaily.com.tw/realtimenews/article/sports/20170712/1159158/巴黎洛杉磯同得奧運主辦權　9月決定誰先辦,巴黎洛杉磯同得奧運主辦權　9月決定誰先辦,2017/07/12 04:55,IOC（International Olympic Committee，國際奧林匹克委員會）周二決定2024年和2028年夏季奧運會的主辦城市將同時產生，洛杉磯和巴黎誰先舉辦，將於9月揭曉。IOC全體成員周二全體投票通過，將與洛杉磯、巴黎進行談判，尋求敲定「三方協議」。預定於9月13日在秘魯利馬舉行的投票，將只會票選2024年的夏季奧運會主辦城市，另一城市則成為2028年的夏季奧運會主辦城市。周二的投票結束後，洛杉磯市長（Eric Garcetti）和巴黎市長伊達戈（Anne Hidalgo）登上主席台，IOC主席巴赫站在中間高舉起兩人的手表示慶祝。這個結果被視為巴赫的勝利。他今年初最早提出這個建議時，遭到了很多國際奧委會委員的反對。IOC執委會上個月開會時，首先通過了雙選的提議，然後決定周二召開臨時全體大會，投票決定執委會的決議。巴赫說，這樣的決定，確保了未來11年奧林匹克運動的穩定。兩市市長都形容決定歷史性，比喻為雙冠軍，賈西堤說：「奧運會歷史上共產生過37次並列冠軍，我們這是第38次。」兩位市長都不願透露是否願意成為2028年奧運會主辦城市。不過從多方面的跡象來看，巴黎舉辦2024年奧運會的可能性最大，因為這一年正好是他們舉辦1924年奧運會100週周年。不過，法國《費加洛報》周二進行的網路民調顯示，約65%的法國人不希望巴黎主辦奧運。一名反對者表示，「奧運只會帶來財政黑洞和髒亂環境」，還有人提醒「不要忘了雅典的下場」。主辦奧運將讓一個城市成為全球焦點，也會帶來人潮和消費，但未必能創造實質經濟效益，甚至可能負債。1976年蒙特婁奧運造成的債務要長達30年才還清。2004年的雅典奧運開支從預估的46億歐元暴增到130億歐元，不僅負擔沉重，還留下一堆空置場館。財務負擔和經濟效益不一定能如預期，讓許多城市陸續放棄申辦奧運，例如漢堡、羅馬、布達佩斯和波士頓原本都有意申辦2024年奧運，但礙於公眾反對和擔心財政，都相繼退出，只剩巴黎和洛杉磯競爭。（北美中心／綜合外電報導） 
apl201707120452000,http://www.appledaily.com.tw/realtimenews/article/international/20170712/1159161/高田問題再擴大　新召修福特日產馬自達,高田問題再擴大　新召修福特日產馬自達,2017/07/12 04:52,日本高田安全氣囊問題再擴大，美國國家公路交通安全管理局11日表示新測試顯示，高田又一款安全氣囊有問題，宣布新一波召修約270萬輛車，包括福特、日產和馬自達。新召修的汽車使用的安全氣囊先前被認為是安全的，但測試後發現有問題。受影響的汽車包括從2005到2012年出廠的汽車，日產為2007年到2012年出產的Versa掀背車和房車，共計約51.5萬輛。馬自達為2007年到2009年出產的B系列貨卡，共計約6千輛。福特為影響最多，共計約220萬輛車須召修，表示正整理受影響車款名單，將在5天內公開。高田安全氣囊可能因壓力過大爆裂，還恐有金屬片噴出，導致駕駛和乘客受傷，該問題至少已導致17死超過180傷。日產表示將會在60天內中通知車主，給予進一步指示。（國際中心／綜合外電報導）相關報導：高田安全氣囊又傳爆裂事故　修車男子身亡
apl201707120438000,http://www.appledaily.com.tw/realtimenews/article/local/20170712/1159139/【有片】直擊oBike拖吊場塞爆　238輛排排站超壯觀,【有片】直擊oBike拖吊場塞爆　238輛排排站超壯觀,2017/07/12 04:38,"（新增：影片）近期民眾對於oBike隨地借隨地還的非常不滿，新北市政府交通局就頒布17個oBike禁令的行政區，截至昨晚新北市已拖吊2,272輛，有民眾發現，在新店區寶橋路的亞旺停車場裡面停滿滿的oBike，據保管場人員表示，目前場內有238輛遭拖回的obike，有民眾驚呼：「這根本就是總站。」保管場人員表示，從新北市政府交通局頒布oBike禁令，新店區包含在內，就開始陸續有oBike被拖回保管，目前尚未有業者前來領回。（突發中心陸運陞／新北報導）發稿0009更新0438推薦閱讀：「逗弄我全身發燙」　女師虛擬性交判賠30萬【抓到郭董片】他20億元私人飛機　在美國這裡被拍到富商花200萬想佔有酒店妹　下場是這樣… "
apl201707120429000,http://www.appledaily.com.tw/realtimenews/article/international/20170712/1159160/巴黎洛杉磯同入選辦奧運　誰先辦9月決定,巴黎洛杉磯同入選辦奧運　誰先辦9月決定,2017/07/12 04:29,國際奧委會11日決定2024和2028年夏季奧運會的主辦城市將同時產生，洛杉磯和巴黎誰先舉辦，將於9月揭曉。 洛杉磯、巴黎和國際奧委會將進行談判，尋求敲定三方協議，決定哪個城市先舉辦奧運會，意味原定於9月13日在秘魯利馬舉行的投票前，兩屆奧運會的舉辦城市就有定案。11日投票結束後，洛杉磯市長加爾塞特和巴黎市長伊達爾戈登上主席台，國際奧委會主席巴赫站在中間高舉起兩人的手表示慶祝。 這個結果被視為巴赫的勝利。他今年初最早提出兩屆奧運同選建議時，遭到很多國際奧委會委員的反對。上個月，國際奧委會執委會開會，首先通過雙選的提議，然後決定11日召開臨時全體大會，投票決定執委會的決議。 巴赫說，這樣的決定，保證未來11年奧林匹克運動的穩定。兩市市長都形容決定歷史性，比喻為雙冠軍，加爾塞特說：「奧運會歷史上共產生過37次並列冠軍，我們這是第38次。」 兩位市長都不願透露是否願意成為2028年奧運會主辦城市。不過從多方面的跡象來看，巴黎舉辦2024年奧運會的可能性最大，因為這一年正好是他們舉辦1924年奧運會100週周年。不過，法國《費加羅報》11日進行的網上民調顯示，約65%的法國人不希望巴黎主辦奧運。一名反對者表示，「奧運只會帶來財政黑洞和髒亂環境」，還有人提醒「不要忘了雅典的下場」。 主辦奧運將讓一個城市成為全球焦點，也會帶來人潮和消費，但未必能創造實質經濟效益，甚至可能負債。1976年蒙特利爾奧運造成的債務要長達30年才還清。2004年的雅典奧運開支從預估的46億歐元暴增到130億歐元，不僅負擔沉重，還留下一堆空置場館。 財務負擔和經濟效益不一定能如預期，讓許多城市陸續放棄申辦奧運，例如漢堡、羅馬、布達佩斯和波士頓原本都有意申辦2024年奧運，但礙於大眾反對和擔心財政，都相繼退出，只剩巴黎和洛杉磯競爭。（國際中心／綜合外電報導）
apl201707120421000,http://www.appledaily.com.tw/realtimenews/article/international/20170712/1159159/嚴打翻牆　中共傳下令封殺VPN,嚴打翻牆　中共傳下令封殺VPN,2017/07/12 04:21,中國當局為迎十九大對輿論封殺越來越嚴，近日通知三大國營電信商，要求在明年2月1日前，屏蔽所有個人用戶連接虛擬私人網路（VPN），許多中國民眾透過VPN翻牆上境外網站，此舉被視為中共十九大前輿論大清洗行動之一。美國彭博新聞社引知情人士稱，中共當局已向中國移動、中國聯通和中國電訊三大國營電信商下令，要在明年2月1日前，對所有旗下個人用戶使用VPN連接進行屏蔽。值得注意是，中國幾乎所有使用網路的個人用戶均使用這三間電信公司作網路供應商。當局沒解釋為何封殺期為2月1日，有分析認為可能是中共顧忌十九大年底舉行、政壇大換班後，政局還要有一段時間過渡穩定。擁有約200家美資在中企業會員的美中貿易全國委員會（USCBC）副主席派克（Jake Parker）稱，此次封殺令對個人用戶首當其衝，又強調VPN對在中國公司連接全球網路異常重要，以往任何試圖屏蔽公司內部VPN的措施，均導致企業考慮減少或結束在中國經營，「這是非常嚴重的問題」。中國工信部早在今年1月22日就下令，即日起至下年3月31日，針對企業和VPN服務提供商，「在全國內對『互聯網接入服務市場』開展清理規範工作」，「未經電信主管部門批准，不得自行建立或租用專線（含VPN）等其他信道開展跨境經營活動」，而「涉及VPN等跨境鏈接的企業將被整改、建檔和管理」，引發網友擔心不能翻牆。 其後，重慶市更於3月立例，規定在重慶使用「翻牆」工具訪問境外網站者，可被罰款甚至追究刑責。而廣受中國網友歡迎的VPN提供商GreenVPN也於上月22日宣佈，「接上級監管部門通知」，於本月1日起停止服務。（大陸中心／綜合外電報導）推薦報導：怕掀國際風波　中國寧讓劉曉波死國內
apl201707120347000,http://www.appledaily.com.tw/realtimenews/article/international/20170712/1159156/收復摩蘇爾　IS仍未亡,收復摩蘇爾　IS仍未亡,2017/07/12 03:47,歷經近9個月戰火血洗，伊拉克總理阿巴迪10日發表電視演說正式宣布成功收復摩蘇爾，取得完全勝利，無疑是對占領摩蘇爾3年的激進穆斯林組織「伊斯蘭國」（Islamic State，IS）一大重挫，作為IS在伊拉克的大本營，也是IS最高頭目巴格達迪自行建國之地，收復摩蘇爾無疑標誌著盤踞在伊拉克的IS已窮途末路。但分析稱，雖然失去立足之地，但IS並未喪失恐怖攻擊能力，《紐約時報》評論稱，即便丟了伊拉克摩蘇爾和敘利亞拉卡兩大城市，也並不意味著IS的滅亡，IS的觸角已伸向全球，其意識形態也會繼續煽動激進分子。而且在伊拉克，IS仍控制塔爾阿法、哈威賈等北部城鎮及安巴爾省大片地區。在敘利亞，雖然IS的最高指揮人員已逃離拉卡，但是幼發拉底河谷目前仍掌控在IS手中。不少頭目還轉移到邁亞丁，此處附近有石油設施以及穿越周圍沙漠的石油管線。更重要的是，IS具備在全球進行煽動、招募、指揮恐怖分子發動攻擊的能力。IS的海外分支正發展壯大，在利比亞、埃及、葉門、阿富汗、奈及利亞和菲律賓肆虐，這多少也彌補了IS在伊敘的損失。美國及其盟友的戰略重點是在軍事上打垮IS，但是在政治、經濟和安全上如何重建、治理遭IS破壞的城市和社區成最大問題。恐怖勢力也很難最終根除，最初催生激進聖戰主義的條件，像是政治動盪、教派衝突以及治理落後，至今仍困擾伊拉克、敘利亞和世界上許多動盪地區。IS的沒落或許將為基地組織的東山再起或者兩大恐怖組織的聯盟提供契機。（國際中心／綜合外電報導）相關報導：【嗆聲片】收復摩蘇爾　川普：IS來日不多了
apl201707120331000,http://www.appledaily.com.tw/realtimenews/article/international/20170712/1159144/【辯解片】見俄律師　川普長子公開安排會面電郵,【辯解片】見俄律師　川普長子公開安排會面電郵,2017/07/12 03:31,（新增影片）美國總統川普長子小唐納日前被美媒踢爆，去年大選前曾密會俄羅斯與政府關係密切的律師，爭議持續發酵。小唐納11日在推特上公開他與安排會面的前小報記者高德史東（Rob Goldstone）的往來電郵，高德史東寄給小唐納的信中提到可提供川普陣營官方文件和資訊，揭發民主黨候選人希拉蕊接受俄國資助，稱「將對你的父親非常有幫助。」還指「這顯然是高度機度和敏感的資訊，不過這是俄羅斯和其政府對川普先生的支持。」小唐納在收到電郵後17分鐘回覆，稱欣然接受，「如果正如你所說的，我很愛，特別是這個夏季末。」 高德史東稱將和小唐納見面的韋塞爾尼斯卡亞（Natalia Veselnitskaya）是俄羅斯政府律師。小唐納公布的往來信件還顯示他將這些信件也轉寄給川普競選總幹事曼納福特（Paul Manafort）和川普女婿庫西納（Jared Kushner）。三人去年6月9日在紐約川普大樓和韋塞爾尼斯卡亞見面。小唐納表示在這個會面尚沒有獲得任何有意義資訊，對方根本沒有提供關於希拉蕊獲俄資助確切證據，並指對方是以此為理由引誘他們見面，真正的目的是要談解除美國懲罰俄羅斯侵犯人權的法律，否認有任何不當，他會接受會面是因為想獲得政敵的研究資料，還指這是相當常見的事，並稱「媒體和民主黨對通俄門下了這麼多的工夫，如果這場毫無意義的會面是他們這一年來唯一掌握的料，我能明白他們的絕望。」小唐納選擇先行公布這些信件，顯然是為做好防範準備，為媒體再爆料打預防針。（國際中心／綜合外電報導）相關報導：【通俄片】川普長子選前見俄律師　盼獲不利希拉蕊資訊發稿：00:48更新 : 03:31 
apl201707120300000,http://www.appledaily.com.tw/realtimenews/article/international/20170712/1159153/高田安全氣囊又傳爆裂事故　修車男子身亡,高田安全氣囊又傳爆裂事故　修車男子身亡,2017/07/12 03:00,日本高田安全氣囊再傳爆裂事故，美國南部佛羅里達州一輛本田汽車修理時安全氣囊異常破裂，導致正在修車的一名男性死亡。　本田已將該事故通報給美國國家公路交通安全管理局，認為死因是氣囊異常破裂的可能性很大，高田氣囊缺陷問題在美國造成的死亡人數可能將由此增至12人。據報導，該車為2001款本田雅哥，事故發生在2016年6月18日。一名不是車主的男性用錘子修理時，氣囊發生異常破裂。該男性當時受傷，次日死亡。 　　該款氣囊因打開時可能有金屬片飛散，2009年成為召修對象。本田從2015年起向車主多次發出召修通知。車主也清楚該車屬於召修車款，但一直沒有回廠修理。（國際中心／綜合外電報導）相關新聞：高田聲請破產 陸企接手
