news ID,url,title,time,content
apl201705201157000,http://www.appledaily.com.tw/realtimenews/article/life/20170520/1122496/彰化可愛動物園區說明會　爆流血衝突,彰化可愛動物園區說明會　爆流血衝突,2017/05/20 11:57,（更新：新增影片）彰化縣政府在溪州鄉規劃可愛動物教育園區，因擔心汙染、傳染病等問題，一直遭到當地許多民眾反對，縣府今天在溪洲國小舉辦說明會，當地居民與愛護動物人士爆發激烈衝突，從校園內打到校園外，現場礦泉水、安全帽騎非，衝突中多人流血、掛彩受傷送醫。說明會今天上午在溪洲國小舉行，但當地居民擔心完成說明會程序後，溪州公園旁的可愛動物園區就完成所有程序，可以合理興建，民眾大罵「噪音汙染、空氣汙染、水汙染為什麼都要溪州人來承受？」還有民眾表示，溪州公園是觀光景點，不需要流浪狗收容中心。彰化縣議長謝典霖、民進黨議員李俊諭、江熊一楓等藍綠議員、多名鄉代表、村長等都到場反對，要求另覓地點興建，民眾擋在禮堂外，不讓說明會進行。沒想到現場陸續出現互嗆衝突，溪州鄉民要求「不是溪州人滾出去！」但愛護動物人士堅持有發表意見權利，雙方一言不合，一群身穿黑色上衣的愛護動物民眾，與另一群在地年輕人打了起來，從校園內打到校外馬路上，多人流血掛彩。謝典霖說，原本名稱是動物收容中心，因為遭民眾反對才改名稱為可愛動物教育園區，現在又改成服務犬訓練學校，但實際上就是流浪動物收容中心，溪州鄉人不是反對動物，而是認為地點設置不適當，溪州公園是觀光風景區，且該園區就在木棧道旁，有許多民眾、遊客在那裏散步、運動，因為縣府曾有意在芳苑等處選址，溪州鄉會把園區讓給其他鄉鎮。李俊諭說，該園區原本要設在芳苑鄉，經地方民眾反對才又決定在溪州，因該工地被圍欄圍起來，當地居民才知道要設流浪動物收容中心，質疑縣府為何沒有開說明會就設置，縣府程序奔本就已違法，而溪州公園有123公頃，不希望流浪狗中心設置在溪州公園後門，不是反對設置收容中心，而是地點不對。彰化動防所獸醫洪世恩說，該園區犬隻會由員林收容所篩選、打完疫苗、節育、植入晶片，才會移到服務犬訓練學校，會友訓練師做基本訓練，不會亂大小便、亂叫或攻擊別人，讓民眾來認養，也能作為學校服務伴讀犬，也能訓練警衛犬，鄉親擔心的會髒、臭、疾病等問題，都是不實的，設備、配套與因應措施都很完善，希望鄉親不要反對。謝典霖則表示，因擔心衝突繼續，決議與鄉長、縣府再做協調討論，議會將在3個星期內召開協調會，希望與縣府達成共識。彰化縣副縣長林明裕說，為營造友善城市象徵，仍需要執行可愛動物園區計畫，說明會沒有完整表達興建的目標與規劃，林明裕表示遺憾，但仍將加強與當地居民溝通。（鄧惠珍／彰化報導）出版時間：11:32更新時間：11:57 
apl201705201154000,http://www.appledaily.com.tw/realtimenews/article/life/20170520/1121081/每天喝這杯防大腸癌　男生也降攝護腺癌風險,每天喝這杯防大腸癌　男生也降攝護腺癌風險,2017/05/20 11:54,​綜藝天王豬哥亮日前因大腸癌轉移病逝，結束70年的人生旅程。大腸癌直腸癌也蟬聯多年十大癌症榜首，平日如何養生保健，每天喝這杯降低大腸癌風險。防大腸癌除多吃蔬果、少紅肉等飲食均衡，用餐定時，減少高油烹煮習慣來養生，也可從飲品保健。《早安健康》網站引用《沙漏式飲食法：席捲全球的抗老化飲食》一書指出，每天喝無糖綠茶，罹患大腸癌的機率減少57%。該書的研究表示，每天喝10杯無糖綠茶的女性罹癌的時間，比每天喝少於3杯綠茶的人晚了9年；每天飲用5杯無糖綠茶的男性，罹患攝護腺癌的風險少了48%。​（即時新聞中心／綜合報導） 
apl201705201150000,http://www.appledaily.com.tw/realtimenews/article/life/20170520/1108950/會考第一天雲多有短暫雨　下周三鋒面殺到當心大雨,會考第一天雲多有短暫雨　下周三鋒面殺到當心大雨,2017/05/20 11:50,（新增影片）今天是國中會考第一天，中央氣象局指出，今天氣與昨類似，受到南方雲系北移，各地大部分為陰天，有時有短暫雨，雨勢通常不大，外出活動民眾及參加國中會考的考生建議攜帶雨具，在氣溫方面，今天雲量偏多，天氣有點悶但不太熱，東半部高溫約27到28℃，西半部高溫則約28到30℃。氣象局表示，明起到下周二水氣減少，明天略為轉東北風，東半部及北部山區有局部短暫陣雨，其他地區多雲，午後南部平地及中部山區有局部短暫雷陣雨，下周一、二水汽更少，迎風面降雨區域更小，各地大多為多雲，只有東半部有局部短暫雨，西半部午後留意熱對流降雨，而白天高溫部分也會略微回升些，整體而言較偏悶熱，北部約30至31℃，中南部高溫可達33至34℃。下周三起受到新一波鋒面影響，氣象局預測，各地降雨機率增高，天氣由北往南、由西往東轉為不穩定的天氣型態，且有雷雨及局部較大雨勢發生，北部降溫到30℃，請民眾多加留意雷雨區伴隨的強陣風及雷擊現象，雨勢較大時視線較差也要注意行車安全。氣象局預估周四、五將受到鋒面影響，但影響程度仍有待觀察，仍有不確定性，請民眾並注意氣象局發布的最新天氣訊息。（許敏溶／台北報導）出版時間：09:00更新時間：11:50
apl201705201150001,http://www.appledaily.com.tw/realtimenews/article/finance/20170520/1121853/中鋼辦「學生鋼鐵之旅」　邀1400學生參訪,中鋼辦「學生鋼鐵之旅」　邀1400學生參訪,2017/05/20 11:50,StartFragment中鋼（2002）舉辦國小六年級「學生鋼鐵之旅」開跑！為讓小港區學子於國小畢業前，對一貫作業煉鋼廠及鋼鐵相關產業能有初步認識，今年持續辦理「鋼鐵之旅」活動，並委請小港區坪頂國小、中鋼集團教育基金會協助辦理，邀請小港區13所國小應屆畢業生近1400人，於昨18及19日共分4梯次至中鋼參訪。中鋼指出，鋼鐵之旅活動開始，先播放影片，介紹古人土法煉鋼的辛勞、現代鋼鐵生產流程及鋼製品在生活上的應用，中鋼集團教育基金會則特別設計「鋼鐵小學堂」問答競賽，內容涵蓋鋼鐵知識、節能減碳及環保教育等主題。（江俞庭/台北報導）EndFragment
apl201705201150002,http://www.appledaily.com.tw/realtimenews/article/sports/20170520/1122505/皇家牛棚延長賽凸槌　連3四壞送雙城勝利,皇家牛棚延長賽凸槌　連3四壞送雙城勝利,2017/05/20 11:50,皇家與雙城今天打入延長賽，皇家隊10下2名牛棚投手阿布奎基(Al Alburquerque)、伍德(Travis Wood)突然找不到控球準星，連投3保送形成滿壘，最後被雙城第6棒普蘭柯(Jorge Polanco)擊出再見高飛犧牲打，終場以3比4落敗。兩隊打完正規9局，以3比3平手，不過10局下皇家決定換上今年套用去年王建民模式所留下的30歲投手阿布奎基上場，這也僅是他本季第5場出賽，但一登板，先對雙城第3棒茂爾(Joe Mauer)連投4顆壞球，面對下一棒亞崔安薩(Ehire Adrianza)又先投3顆壞球後，才投出第一顆好球，但第5球又投出壞球形成保送，教練團因而上場換投。不過接替的伍德狀況沒好到哪去，同樣投5球就保送了卡普勒(Max Kepler)，形成滿壘，普蘭柯則是選中伍德的第2顆球擊出左外野飛球成為高飛犧牲打贏得比賽，敗投則是算在阿布奎基頭上，目前他5場4局吞1敗，防禦率6.75。(賴德剛／綜合報導) 
apl201705201149000,http://www.appledaily.com.tw/realtimenews/article/international/20170520/1122383/【LA直擊】超猛「性虐待」博覽會　蘋果帶你看,【LA直擊】超猛「性虐待」博覽會　蘋果帶你看,2017/05/20 11:49,"（新增動新聞）火辣少女牽著狗鍊，牽著被項圈綁縛、穿著妖嬌的中年男子逛大街。就在一旁，打扮蘿莉的女孩，被人用繩索綁縛在鐵桿上，像是個洋娃娃般任人擺出不同姿勢；這些奇特的場景今天都出現在洛杉磯舉辦的「性支配與臣服博覽會」（DomCon）上；尺度之猛，讓人大開眼界。既然展覽主題是「支配與臣服」（Dominance and Submission），相關的產品那可少不了。現場隨處可見不同道具，從皮鞭、木棍、韁繩、以及皮質狗面具等，通通應有盡有。即使「性虐待」口味偏重，但在次文化蓬勃發展的美國，沒有什麼事情是不能敞開來談的。主辦單位表示，這已經是他們第14年舉行這個博覽會，大家的反應都十分熱烈，造訪人數也越來越多，光是第一天早上就已經有超過千人買票進場。除了參觀之外，當然也有許多同好也是進場一展身手的，現場爭奇鬥豔，讓人目不暇給。莉莉女神（Goddess Lilidth）與她的「愛犬」珍妮（Jenny），就是十分吸睛的一對「主人與寵物」。外型對比頗為強烈的兩人認識已經超過10年，一直都合作的十分愉快。「我從小就是個支配性很強的孩子，當我因模特兒事業而接觸到這一塊領域的時候，很快就愛上那種握著韁繩，支配寵物的快感，而珍妮則是喜歡那種順從的感覺」。身為主人的莉莉女神強調，這樣的關係其實比許多人想像中來得正常與健康，因為「所有的行為都是在兩人都同意的前提下進行的」。她強調，這種形式的互動可以為雙方帶來快感，其實更像是一種「調教」、而非「虐待」。而受主辦單位邀請前來表演的貝蒂夫人，也同意這樣的說法，「支配與臣服並不像外界想的那麼不堪，這樣的關係其實也是一種愛的表現」。她擔任專業支配者的角色已經多年，一律統稱臣服的對象為「小狗狗」（puppies），今天特地與她的愛犬來表演拿手的「性虐針刺」。手起針落，迅速的在「小狗狗」背上來回穿梭，但看被施針者的表情看來，可說是「痛並快樂著」。貝蒂夫人說，因為畫面較為血腥，許多人對於這樣的關係有所誤解，總帶著負面的刻板印象，「但我的小狗狗與我都很享受這樣的互動，他們十分忠心，對我也充滿了愛。如果我們都很喜歡，這有什麼不可以呢」？看完了疼痛度百分百的穿刺，畫面一轉來到讓人較為寬心的「綁縛表演」。負責表演的V女神手腳俐落，三兩下就完成了高難度的綑綁。當然，這樣的技術並非與身俱來，偏好此道的人，又要怎麼樣才能玩得安全又開心呢？資歷近20年的「專業綁縛師」V女神（Goddess V）說，「透過網路學習，會是個很好的入門之道，在你把任何東西綁上身之前，最好要有基本的認識」。一路看著這個領域變遷的V女神強調，與過去相比，現在大家對「性調教」已經有長足的進步，不再像過去那般排斥。過去羞於啟齒的事情，現在都可以透過網路論壇以及影片習得，「許多的組織也都會提供具有教育性質的資訊，不讓大家受到傷害......這只是一種不同的愛，希望大家不要用有色眼光看我們。（陳志豪/ 洛杉磯報導）時間：即日起到21（週日），每日11點至半夜地點：LAX希爾頓飯店地下室，5711 West Century Blvd, Los Angeles, CA, 90045入場：依參加活動及天數各有不同，請洽官網查詢（http://www.domconla.com/）注意事項： 若要拍照，請先徵得當事者同意出版：06：56更新：11：49"
apl201705201148000,http://www.appledaily.com.tw/realtimenews/article/international/20170520/1122407/【LA直擊】華人投資移民竟是騙局　坑拐5千萬美元,【LA直擊】華人投資移民竟是騙局　坑拐5千萬美元,2017/05/20 11:48,今年4月初，美國聯邦調查局（FBI）及國土安全局大舉搜查聖蓋博谷2戶民宅及一個辦公室，調查一宗華人大規模投資移民（EB-5）項目和金融詐騙案，事件中有超過100名來自中國的投資者受害，涉案金額高達5千萬美元，受害者目前的臨時綠卡失效，周五有4名受害者家庭透過洛杉磯律師提出集體訴訟，控告該投資移民公司詐騙並申索懲罰性賠償，料整個訴訟涉及金額高達1000萬美元以上。當局大舉搜查目標是位於聖蓋博市希爾頓酒店內的「加州投資移民基金」，涉及郵件詐騙﹑電匯詐騙﹑簽證詐騙以及洗錢等行為。該基金公司是以投資移民（EB-5）作招攬，吸引海外投資者申請EB-5，不過對投資者以及美國政府訛稱，資金是用來發展酒店﹑零售﹑地產等項目，但所有項目全屬虛構，收來的款項挪作個人用途，例如在洛杉磯購買過百萬的豪宅。當投資者的投資移民申請被擱置時，甚至將款項退回。代表4個受害者家庭的加州律師王婧周五舉行記者會，她表示今早已向洛杉磯法院提交訴訟，其實受害人於2011年12月所簽訂的合同問題多多，其中法律服務部分合同主體是American Immigration Center Inc.，惟此公司早於同年9月已經註銷；另一個問題是被告所開律師事務所是以有限責任公司（LLC）的形式存在，亦是違反加州法律，該公司已於2017年3月註銷。「在詐騙訴訟的過程中，我們會要求申請精神損害賠償，因為當初在2011年時，申請人都是為了孩子申請投資移民美國，為了孩子的教育。」她又指如果現時再重新投資新項目，申請臨時綠卡又要再等幾年，小孩有機會失去與父母共同取得綠卡的資格，嚴重影響當事人的家庭計劃。因此，是次訴訟除了要求被告退還當初55萬美元的費用外，亦申索200萬美元的懲罰性賠償，因此4個受害人家庭總索償金額高達1000萬美元以上。王律師亦打電話予其中一名受害人William現場接受媒體提問，他表示是透過朋友介紹，在國內與中介簽署合同，並將55萬美元匯到「加州投資移民基金」，雖然他在2013年取得臨時綠卡，幾年來就有多次到訪美國查看項目，不過被告方面每次都帶他查看不同的開發案，為他畫了一個美好的藍圖，所以即使臨時綠卡2年期滿後，仍然願意延期繼續等，直到見到4月份FBI 查封的新聞才如夢初醒。這項詐騙案當中涉及近百名投資者，當局相信有部份投資者為同謀。不過王律師表示，是次代表的4個受害人家庭都是無辜的受害者，而另外在FBI 的名單上有約30名投資者從中有收過回贈或退款，就有機會被列成同謀，所以她呼籲無辜受害人要盡早尋求法律協助。(張紫茵／洛杉磯報導）
apl201705201147000,http://www.appledaily.com.tw/realtimenews/article/fashion/20170520/1122463/肯黛兒、貝拉坎城比辣　看表情就知誰勝出,肯黛兒、貝拉坎城比辣　看表情就知誰勝出,2017/05/20 11:47,新生代辣模肯黛兒傑納（Kendall Jenner）和貝拉哈蒂德（Bella Hadid）是目前時尚圈超熱人氣名模，私交不錯的兩人也曾相約度假，大曬比基尼照比辣，兩人同場出席坎城影展官方合作夥伴的珠寶腕錶品牌蕭邦（Chopard）派對，既然在攝影鏡頭同框下合照，當然不免俗要被比較一下，向來愛露又敢露的貝拉以一襲瀕臨走光邊緣的超低胸、後露背、裙擺還開高衩的Roberto Cacalli銀色禮服，前後上下全都露性感搶鏡，讓以Ralph & Russo17春夏禮服優雅登場的肯黛兒，忍不住低頭欣賞貝拉胸前美景，並露出讚賞表情。（劉妍伶／台北報導） 
apl201705201147001,http://www.appledaily.com.tw/realtimenews/article/politics/20170520/1122500/出席黨魁投票　洪秀柱：蔡英文有本事就特赦陳水扁,出席黨魁投票　洪秀柱：蔡英文有本事就特赦陳水扁,2017/05/20 11:47,國民黨主席選舉今天投票，競選連任的國民黨主席洪秀柱今天一襲桃紅色上衣搭配牛仔褲，雖啞著嗓子，但態度輕鬆，順利完成投票。洪秀柱說，自己做任何事都滿懷信心，是否能一輪就過半，洪秀柱說，今天開票出來就知道。她也說，6人只能有1人當選，落選的一定要支持當選的，要團結就要用行動表示，支持當選者為黨未來努力。對於前總統陳水扁昨天出席凱校餐會，透過事先預錄影片大酸總統蔡英文，還表態力挺軍公教。洪秀柱相當不以為然，她說，「他（指陳水扁）表態挺誰是一回事，他到處違反規定趴趴走，政府也無視這種情形，這種司法讓人可以信任嗎？我們覺得非常遺憾，中監到現在都沒有拿出一個魄力，上面的總統也沒有針對這個狀況拿出具體行動」。洪秀柱還對蔡英文喊話，「妳有本事就特赦他」，洪秀柱說，到底蔡英文認為一個貪污犯總統要如何處置，要講清楚，不可以放任這樣的情形，以後大家起而效尤怎麼辦？ （張文馨╱台北報導）
apl201705201145000,http://www.appledaily.com.tw/realtimenews/article/finance/20170520/1121835/國鼎胰臟癌藥　獲美FDA准執行臨床試驗,國鼎胰臟癌藥　獲美FDA准執行臨床試驗,2017/05/20 11:45,StartFragment國鼎生技（4132）宣佈，通過美國食品藥物監督管理局（FDA）獲准執行研發中新藥Antroquinonol與現行標準療法（SOC），合併治療胰臟癌患者的人體安全性與功效性臨床試驗。 StartFragment國鼎生技研發中小分子新藥Antroquinonol，在2015年獲得美國FDA針對治療胰臟癌、急性骨髓性白血病以及肝癌的孤兒藥認證，今年初也獲得歐盟執委會(European Commission) 用於治療胰臟癌的孤兒藥認證，昨宣佈接獲美國FDA核准展開胰臟癌合併用藥的人體臨床試驗，將由nab-paclitaxel加上Gemcitabine合併治療一線的胰臟癌患者。國鼎生技目前執行中的新藥臨床試驗，包括多國多中心的非小細胞肺癌二期臨床試驗、台灣衛福部2016年同意執行的降血脂二期臨床試驗，與剛獲准執行的胰臟癌人體安全性與功效性臨床試驗。（江俞庭/台北報導）EndFragmentEndFragment
